ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C20-C20.9 Retto,0,0,0,0,0,0,3.26,3.25,7.19,11.33,32.18,36.74,54.52,58.92,115.25,83.92,125.27,112.92,27.91
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,0,0,0,8.16,7.79,8.42,9.22,0,0,0,2.01
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,0,0,0,10.73,28.57,54.52,58.92,101.42,156.66,87.69,98.81,25.65
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,0,0,4.08,15.58,0,18.44,16.78,0,0,3.02
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,3.78,0,12.25,3.89,8.42,18.44,22.38,37.58,0,4.53
C25-C25.9 Pancreas,0,0,0,0,0,0,0,0,7.19,0,3.58,32.65,46.73,63.12,59.93,33.57,112.74,70.58,17.85
C26-C26.9 Altri mal def.organi digerenti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,14.12,0.5
C30-C30.9 Cavita' nasali orecc.medio,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,0.5
C31-C31.9 Seni accessori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61,0,0,0,0.25
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,0,15.11,28.61,32.65,31.15,54.71,64.54,61.54,37.58,14.12,17.6
C33-C33.9 Trachea,0,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0,0,0.25
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,3.26,6.49,7.19,26.44,60.79,138.78,175.24,239.87,502.48,486.75,513.59,310.54,106.63
C37-C37.9 Timo,0,0,0,0,0,0,0,0,0,0,0,8.16,0,0,0,0,0,0,0.5
C40-C40.9 Ossa cart.art.arti,5.95,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0,0,0.5
C41-C41.9 Ossa cart.art.altre e ns sedi,0,0,5.56,0,0,0,0,0,0,0,0,0,3.89,0,4.61,0,12.53,0,1.01
C43-C43.9 Melanoma della pelle,0,0,0,0,0,0,0,19.48,3.6,0,17.88,12.25,38.94,21.04,32.27,50.35,37.58,28.23,12.83
C44-C44.9 Pelle non melanomi,0,0,0,0,8.26,0,3.26,12.99,21.58,34,60.79,118.37,155.77,319.83,493.26,559.49,613.8,1058.65,129.51
C45-C45.9 Mesotelioma,0,0,0,0,0,0,0,0,0,7.56,0,8.16,3.89,4.21,9.22,0,12.53,0,2.26
C46-C46.9 Sarcoma di Kaposi,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,4.61,0,0,14.12,0.75
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,3.46,0,0,0,0,0,0,0,4.21,0,11.19,0,0,1.01
C49-C49.9 Tess.connettivo e molle,0,0,0,4.94,0,0,0,0,0,3.78,7.15,4.08,3.89,8.42,4.61,0,12.53,14.12,2.77
C50-C50.9 Mammella,0,0,0,0,0,0,0,0,0,0,3.58,4.08,3.89,8.42,0,0,12.53,0,1.51
C60-C60.9 Pene,0,0,0,0,0,0,0,0,0,3.78,0,0,3.89,0,9.22,16.78,0,0,1.76
C61-C61.9 Prostata,0,0,0,0,0,0,0,0,3.6,0,10.73,57.14,151.87,374.54,571.63,704.95,739.07,465.81,122.72
C62-C62.9 Testicolo,0,0,0,4.94,12.39,6.93,13.05,12.99,3.6,3.78,3.58,4.08,0,0,0,0,0,0,4.53
C63-C63.9 Al.n.s.org.genit.maschili,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0.25
C64-C64.9 Rene eccet.pelvi renale,0,0,0,0,0,0,3.26,9.74,3.6,7.56,25.03,53.06,66.2,67.33,106.03,72.73,100.21,28.23,26.66
C65-C65.9 Pelvi renale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.44,22.38,12.53,0,2.26
C66-C66.9 Uretere,0,0,0,0,0,0,0,0,0,0,0,4.08,7.79,8.42,0,0,0,0,1.26
C67-C67.9 Vescica,0,0,0,4.94,0,3.46,3.26,0,25.17,22.67,82.25,77.55,144.08,197.79,318.08,296.53,338.22,338.77,79.21
C68-C68.9 Al.n.s.organi urinari,0,0,0,0,0,0,0,0,0,0,0,4.08,0,0,4.61,11.19,0,14.12,1.26
C69-C69.9 Occhio e annessi,5.95,0,0,0,0,0,0,0,3.6,0,0,4.08,3.89,4.21,0,5.59,12.53,0,1.76
C71-C71.9 Cervello,0,5.8,5.56,0,4.13,3.46,6.52,3.25,3.6,15.11,3.58,16.33,23.36,16.83,13.83,44.76,37.58,14.12,10.56
C72-C72.9 Midollo spin.nervi cran.al.parti,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0.25
C73-C73.9 Ghiandola tiroide,0,0,5.56,0,4.13,3.46,0,6.49,0,15.11,0,0,0,4.21,9.22,0,0,0,3.02
C74-C74.9 Ghiandole surrenali,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,5.59,0,0,0.75
C80-C80.9 T.m.n.a.s. o n.s.prim.sec.,0,0,0,0,0,0,0,0,0,0,0,4.08,3.89,12.62,32.27,22.38,25.05,42.35,5.28
C81-C81.9 Malattia di Hodgkin,5.95,5.8,16.67,0,4.13,6.93,6.52,3.25,0,3.78,3.58,4.08,0,0,4.61,5.59,0,0,4.02
C82-C82.9 Linfoma follicol.non-Hodgkin,0,0,0,0,0,0,3.26,9.74,0,0,0,0,3.89,12.62,4.61,5.59,0,0,2.51
C83-C83.9 Linfoma diffuso non-Hodgkin,0,0,0,0,0,3.46,3.26,9.74,3.6,3.78,10.73,16.33,7.79,21.04,27.66,27.97,12.53,14.12,8.55
C84-C84.9 Linfoma perif.cutan.cell.T,0,0,0,0,0,0,0,0,0,0,3.58,0,3.89,4.21,4.61,0,0,0,1.01
C85-C85.9 Al.n.s.linfomi non-Hodgkin,0,0,0,0,0,6.93,3.26,9.74,14.39,11.33,7.15,12.25,19.47,21.04,41.49,44.76,12.53,28.23,12.07
C88-C88.9 Mal.immunoprolifer.maligna,0,0,0,0,0,0,0,0,0,0,0,4.08,0,4.21,0,5.59,0,0,0.75
C90-C90.9 Mieloma multipl.t.m.plasmacellule,0,0,0,0,0,0,0,0,3.6,3.78,10.73,28.57,3.89,29.46,27.66,22.38,50.11,42.35,9.3
C91-C91.9 Leucemia linfoide,11.91,11.6,0,0,4.13,3.46,0,0,0,3.78,10.73,4.08,19.47,16.83,13.83,44.76,37.58,14.12,8.8
C92-C92.9 Leucemia mieloide,0,0,0,0,4.13,3.46,0,3.25,0,0,7.15,16.33,15.58,46.29,23.05,27.97,62.63,84.69,11.32
C95-C95.9 Leucemie cell.non specificate,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0,4.61,0,12.53,14.12,1.01
C96-C96.9 Al. ns t.m.tess.linf.emat.,0,0,0,4.94,0,0,3.26,3.25,0,0,14.3,4.08,3.89,8.42,9.22,5.59,12.53,0,3.77
